2022-06-28 14:18:38.763383
gain = 56
date[Y-m-d]
time[H:m:s.ms]
urms[mV]
irms[mA]
phase[degree]

timestamp,frequency,urms,irms,phase
2022-06-28 14:18:40.442952,1900000,3509,0,79
2022-06-28 14:18:41.305293,1900100,3511,0,79
2022-06-28 14:18:42.008836,1900200,3511,0,79
2022-06-28 14:18:42.728400,1900300,3512,0,79
2022-06-28 14:18:43.446834,1900400,3512,0,79
2022-06-28 14:18:44.150038,1900500,3512,0,79
2022-06-28 14:18:44.853018,1900600,3513,0,79
2022-06-28 14:18:45.555550,1900700,3513,0,79
2022-06-28 14:18:46.259257,1900800,3513,0,79
2022-06-28 14:18:46.961898,1900900,3513,0,79
2022-06-28 14:18:47.680394,1901000,3514,0,79
2022-06-28 14:18:48.383506,1901100,3514,0,79
2022-06-28 14:18:49.087020,1901200,3514,0,79
2022-06-28 14:18:49.805808,1901300,3514,0,79
2022-06-28 14:18:50.540668,1901400,3514,0,79
2022-06-28 14:18:51.259751,1901500,3514,0,79
2022-06-28 14:18:51.963441,1901600,3514,0,79
2022-06-28 14:18:52.682541,1901700,3514,0,79
2022-06-28 14:18:53.384001,1901800,3514,0,79
2022-06-28 14:18:54.072126,1901900,3515,0,79
2022-06-28 14:18:54.774163,1902000,3515,0,79
2022-06-28 14:18:55.478298,1902100,3515,0,79
2022-06-28 14:18:56.196750,1902200,3515,0,80
2022-06-28 14:18:56.900455,1902300,3515,0,79
2022-06-28 14:18:57.603494,1902400,3515,0,79
2022-06-28 14:18:58.306912,1902500,3515,0,79
2022-06-28 14:18:59.025662,1902600,3515,0,79
2022-06-28 14:18:59.712674,1902700,3515,0,79
2022-06-28 14:19:00.399241,1902800,3515,0,79
2022-06-28 14:19:01.101528,1902900,3515,0,79
2022-06-28 14:19:01.804055,1903000,3515,0,79
2022-06-28 14:19:02.508563,1903100,3515,0,79
