2022-06-24 14:09:26.124730
gain = 65
date[Y-m-d]
time[H:m:s.ms]
urms[mV]
irms[mA]
phase[degree]

timestamp,frequency,urms,irms,phase
2022-06-24 14:09:27.756832,1900000,0,0,92
2022-06-24 14:09:28.636163,1900100,0,0,92
2022-06-24 14:09:29.338582,1900200,0,0,92
2022-06-24 14:09:30.042329,1900300,0,0,92
2022-06-24 14:09:30.745470,1900400,0,0,92
2022-06-24 14:09:31.448481,1900500,0,0,92
2022-06-24 14:09:32.151548,1900600,0,0,92
2022-06-24 14:09:32.855399,1900700,0,0,92
2022-06-24 14:09:33.557230,1900800,0,0,92
2022-06-24 14:09:34.243892,1900900,0,0,92
2022-06-24 14:09:34.963866,1901000,0,0,92
2022-06-24 14:09:35.651014,1901100,0,0,92
2022-06-24 14:09:36.354493,1901200,0,0,92
2022-06-24 14:09:37.057660,1901300,0,0,92
2022-06-24 14:09:37.760375,1901400,0,0,92
2022-06-24 14:09:38.464302,1901500,0,0,92
2022-06-24 14:09:39.167524,1901600,0,0,92
2022-06-24 14:09:39.886256,1901700,0,0,92
