timestamp,signal,frequency,gain
2022-07-05 14:04:10.462926,False,0,75
2022-07-05 14:04:13.391605,True,1350000,75
2022-07-05 14:04:14.506757,False,0,0
2022-07-05 14:04:15.047936,False,0,0
2022-07-05 14:04:15.589604,False,0,0
2022-07-05 14:04:16.134821,False,0,0
2022-07-05 14:04:16.681590,False,0,0
2022-07-05 14:04:17.222605,False,0,0
2022-07-05 14:04:17.767605,False,0,0
2022-07-05 14:04:18.315911,False,0,0
2022-07-05 14:04:18.862953,False,0,0
2022-07-05 14:04:19.409822,False,0,0
2022-07-05 14:04:19.955779,False,0,0
2022-07-05 14:04:20.501509,False,0,0
2022-07-05 14:04:21.456351,False,0,75
2022-07-05 14:04:22.017533,False,0,75
2022-07-05 14:04:22.249802,False,0,75
2022-07-05 14:04:25.632050,True,1350000,75
2022-07-05 14:04:26.731729,True,50000,0
2022-07-05 14:04:27.314794,True,150000,0
2022-07-05 14:04:27.874850,True,250000,0
2022-07-05 14:04:28.432031,True,350000,0
2022-07-05 14:04:28.992603,True,450000,0
2022-07-05 14:04:29.551609,True,550000,0
2022-07-05 14:04:30.123256,True,650000,0
2022-07-05 14:04:30.682155,True,750000,0
2022-07-05 14:04:31.235640,True,850000,0
2022-07-05 14:04:31.805099,True,950000,0
2022-07-05 14:04:32.360837,True,1050000,0
2022-07-05 14:04:32.926610,True,1150000,0
2022-07-05 14:04:34.133720,True,1250000,75
2022-07-05 14:04:34.698146,True,1350000,75
2022-07-05 14:04:34.934074,True,1350000,75
2022-07-05 14:04:35.460821,False,0,75
2022-07-05 14:04:39.303587,True,1350000,75
2022-07-05 14:04:40.410920,True,50000,0
2022-07-05 14:04:40.986969,True,150000,0
2022-07-05 14:04:41.553971,True,250000,0
2022-07-05 14:04:42.110790,True,350000,0
2022-07-05 14:04:42.678741,True,450000,0
2022-07-05 14:04:43.235630,True,550000,0
2022-07-05 14:04:44.244901,False,0,0
2022-07-05 14:04:45.556356,True,650000,0
2022-07-05 14:04:46.040105,True,50000,0
2022-07-05 14:04:46.614392,True,150000,0
2022-07-05 14:04:47.159586,True,250000,0
2022-07-05 14:04:47.720776,True,350000,0
2022-07-05 14:04:48.288014,True,450000,0
2022-07-05 14:04:48.855761,True,550000,0
2022-07-05 14:04:49.415190,True,650000,0
2022-07-05 14:04:49.976571,True,750000,0
2022-07-05 14:04:50.541460,True,850000,0
2022-07-05 14:04:51.102767,True,950000,0
2022-07-05 14:04:51.662424,True,1050000,0
2022-07-05 14:04:52.221255,True,1150000,0
2022-07-05 14:04:53.418106,True,1250000,75
2022-07-05 14:04:53.988232,True,1350000,75
2022-07-05 14:04:54.232498,True,1350000,75
2022-07-05 14:04:54.754568,False,0,75
2022-07-05 14:05:00.111139,True,1350000,75
2022-07-05 14:05:01.219272,True,50000,0
2022-07-05 14:05:01.786848,True,150000,0
2022-07-05 14:05:02.362989,True,250000,0
2022-07-05 14:05:02.917556,True,350000,0
2022-07-05 14:05:03.482442,True,450000,0
2022-07-05 14:05:04.047614,True,550000,0
2022-07-05 14:05:04.623764,True,650000,0
2022-07-05 14:05:05.178742,True,750000,0
2022-07-05 14:05:05.736698,True,850000,0
2022-07-05 14:05:06.301001,True,950000,0
2022-07-05 14:05:06.858517,True,1050000,0
2022-07-05 14:05:07.737119,False,0,0
