timestamp,signal,frequency,gain
2022-05-30 20:19:43.105286,True,1000000,0
2022-05-30 20:19:43.968113,False,0,0
2022-05-30 20:19:44.954129,True,126250,0
2022-05-30 20:19:44.983129,True,126300,0
2022-05-30 20:19:45.127147,True,126350,0
2022-05-30 20:19:45.256141,True,126400,0
2022-05-30 20:19:45.284144,True,126450,0
2022-05-30 20:19:45.422324,True,126500,0
2022-05-30 20:19:45.559018,True,126550,0
2022-05-30 20:19:45.694109,True,126600,0
2022-05-30 20:19:45.826943,True,126650,0
2022-05-30 20:19:45.968575,True,126700,0
2022-05-30 20:19:46.108783,True,126750,0
2022-05-30 20:19:46.141793,True,126800,0
2022-05-30 20:19:46.281442,True,126850,0
2022-05-30 20:19:46.414125,True,126900,0
2022-05-30 20:19:46.547695,True,126950,0
2022-05-30 20:19:46.687743,True,127000,0
2022-05-30 20:19:46.826655,True,127050,0
2022-05-30 20:19:46.856657,True,127100,0
2022-05-30 20:19:46.997612,True,127150,0
2022-05-30 20:19:47.138274,True,127200,0
2022-05-30 20:19:47.279020,True,127250,0
2022-05-30 20:19:47.407034,True,127300,0
2022-05-30 20:19:47.542107,True,127350,0
2022-05-30 20:19:47.574111,True,127400,0
2022-05-30 20:19:47.717791,True,127450,0
2022-05-30 20:19:47.844808,True,127500,0
2022-05-30 20:19:47.974108,True,127550,0
2022-05-30 20:19:48.112112,True,127600,0
2022-05-30 20:19:48.438213,True,127650,0
2022-05-30 20:19:48.484214,True,127700,0
2022-05-30 20:19:48.622105,False,0,0
