timestamp,command,argument,signal,frequency,gain
2022-06-29 15:54:05.321120,on,[],True,600000,44
2022-06-29 15:54:10.473230,hold,"[5, 's']",True,600000,44
2022-06-29 15:54:10.903816,frequency,1200000,True,1200000,44
2022-06-29 15:54:11.337592,gain,100,True,1200000,100
